SalePrice,House.Style,Overall.Qual,Overall.Cond,Year.Built,Foundation,Bedroom.AbvGr,Yr.Sold,Sale.Condition,
133000,1Story,5,5,1963,CBlock,3,2010,Normal,
127000,1Story,5,8,1962,CBlock,3,2010,Normal,
169000,1Story,6,6,1974,CBlock,3,2010,Abnorml,
190000,2Story,7,5,1992,PConc,3,2010,Normal,
362500,2Story,8,5,1993,PConc,4,2010,Normal,
285000,2Story,8,5,1992,PConc,4,2010,Normal,
260000,1Story,7,5,2004,PConc,2,2010,Normal,
190000,2Story,7,5,2004,PConc,2,2010,Normal,
155000,2Story,7,5,2004,PConc,2,2010,Normal,
149500,2Story,7,5,2004,PConc,2,2010,Normal,
152000,2Story,6,5,2005,PConc,2,2010,Normal,
222000,1Story,7,5,2009,PConc,2,2010,Partial,
177500,2Story,6,5,2000,PConc,3,2010,Normal,
177000,2Story,6,5,2000,PConc,2,2010,Normal,
155000,2Story,7,5,1999,PConc,3,2010,Normal,
147110,2Story,7,5,2003,PConc,2,2010,Normal,
267916,1Story,8,5,2010,PConc,1,2010,Partial,
254000,2Story,8,5,2000,PConc,3,2010,Normal,
155000,1Story,8,5,1980,CBlock,1,2010,Normal,
206000,1Story,8,6,1978,CBlock,1,2010,Normal,
130500,2Story,6,8,1976,CBlock,3,2010,Normal,
230000,1Story,7,5,2002,PConc,3,2010,Normal,
218500,1Story,6,6,1967,CBlock,4,2010,Normal,
205000,1Story,6,7,1977,PConc,3,2010,Normal,
197500,1Story,6,7,1972,CBlock,3,2010,Normal,
171000,2Story,6,6,1971,CBlock,4,2010,Normal,
142250,1Story,5,5,1966,CBlock,3,2010,Normal,
143000,1Story,6,5,1963,CBlock,3,2010,Normal,
128950,1Story,4,5,1959,CBlock,3,2010,Normal,
178900,1Story,5,6,1967,CBlock,3,2010,Normal,
137500,SFoyer,6,7,1963,PConc,3,2010,Abnorml,
84900,1Story,5,6,1962,CBlock,6,2010,Abnorml,
142125,1Story,5,6,1950,CBlock,2,2010,Normal,
116500,1Story,5,7,1958,CBlock,2,2010,Normal,
76500,1Story,3,2,1940,CBlock,3,2010,Normal,
128000,1Story,5,5,1954,CBlock,3,2010,Normal,
153000,SLvl,6,6,1955,CBlock,3,2010,Normal,
178000,SFoyer,6,8,1966,CBlock,2,2010,Normal,
154300,2Story,5,5,1960,CBlock,5,2010,Normal,
180000,1Story,7,5,1970,CBlock,3,2010,Normal,
190000,1Story,6,6,1966,CBlock,2,2010,Normal,
135000,1Story,5,5,1958,CBlock,4,2010,Normal,
214000,1Story,7,5,2003,PConc,3,2010,Normal,
136000,1Story,5,5,1959,CBlock,3,2010,Normal,
165500,1Story,5,5,1959,CBlock,4,2010,Normal,
145000,1Story,5,6,1957,CBlock,3,2010,Normal,
167500,1Story,5,5,1960,CBlock,3,2010,Normal,
108538,1Story,5,5,1959,CBlock,3,2010,Normal,
135000,1Story,5,7,1952,CBlock,2,2010,Normal,
122500,1Story,5,6,1955,CBlock,3,2010,Normal,
109000,1Story,5,7,1953,CBlock,3,2010,Abnorml,
105000,1Story,4,7,1920,BrkTil,2,2010,Normal,
144900,1Story,5,7,1954,CBlock,3,2010,Normal,
97500,1.5Fin,6,5,1948,CBlock,3,2010,Abnorml,
144000,SFoyer,6,5,1980,CBlock,0,2010,Normal,
132000,1.5Fin,6,8,1948,CBlock,3,2010,Normal,
154000,1Story,5,7,1959,CBlock,3,2010,Normal,
166000,1.5Fin,5,4,1952,CBlock,4,2010,Normal,
134800,1Story,5,7,1951,CBlock,3,2010,Normal,
148000,1Story,5,6,1960,CBlock,3,2010,Normal,
192000,1Story,6,7,1963,CBlock,2,2010,Normal,
155000,2Story,6,5,1966,CBlock,4,2010,Normal,
80400,1.5Fin,4,5,1900,PConc,3,2010,Abnorml,
96500,1.5Fin,4,7,1910,BrkTil,3,2010,Normal,
109500,1Story,5,7,1920,PConc,2,2010,Normal,
115000,1Story,5,6,1927,CBlock,2,2010,Normal,
143000,1Story,5,7,1957,CBlock,3,2010,Normal,
107400,2Story,3,6,1915,CBlock,3,2010,Normal,
80000,1Story,4,6,1945,CBlock,2,2010,Normal,
119000,1Story,5,7,1940,CBlock,2,2010,Abnorml,
130000,1.5Fin,5,7,1929,BrkTil,3,2010,Normal,
119000,1.5Fin,6,7,1938,PConc,3,2010,Normal,
100000,1.5Fin,5,6,1920,BrkTil,3,2010,Normal,
12789,1Story,2,2,1923,BrkTil,2,2010,Abnorml,
105900,1Story,6,8,1928,BrkTil,2,2010,Normal,
150000,2Story,8,9,1900,BrkTil,3,2010,Abnorml,
139000,1.5Fin,5,6,1915,PConc,4,2010,Normal,
240000,2Story,8,9,1890,Stone,3,2010,Normal,
76500,2Story,5,3,1910,BrkTil,4,2010,Abnorml,
149700,1Story,6,7,1957,CBlock,2,2010,Normal,
125500,2Story,4,7,1910,CBlock,3,2010,Normal,
122500,2Story,4,6,1885,PConc,4,2010,Normal,
140750,2Story,6,7,1922,CBlock,2,2010,Normal,
209500,2.5Unf,7,7,1922,BrkTil,3,2010,Normal,
87000,1Story,4,7,1925,BrkTil,2,2010,Normal,
132000,1.5Fin,5,6,1942,CBlock,3,2010,Normal,
139900,1.5Fin,6,7,1948,CBlock,3,2010,Normal,
123900,1.5Fin,5,7,1936,CBlock,2,2010,Normal,
109500,1Story,6,5,1923,BrkTil,2,2010,Normal,
149500,1.5Fin,4,5,1915,CBlock,4,2010,Normal,
122000,2Story,6,8,1920,BrkTil,3,2010,Normal,
110000,1Story,5,5,1963,CBlock,2,2010,Normal,
55000,2Story,4,5,1930,Slab,3,2010,Normal,
140000,2Story,5,9,1900,BrkTil,4,2010,Normal,
244400,2Story,7,7,1940,CBlock,4,2010,Normal,
95000,1.5Fin,6,5,1940,CBlock,3,2010,Normal,
93369,2Story,4,1,1907,CBlock,4,2010,Abnorml,
114900,1.5Fin,5,7,1910,BrkTil,2,2010,Normal,
94000,1.5Fin,5,8,1875,CBlock,2,2010,Normal,
136500,1Story,4,5,1968,CBlock,4,2010,Normal,
131500,1Story,5,4,1965,PConc,3,2010,Normal,
125000,1Story,5,5,1967,CBlock,3,2010,Normal,
154000,1Story,5,8,1968,CBlock,3,2010,Normal,
137900,1Story,5,7,1966,CBlock,3,2010,Normal,
158000,2Story,6,7,1969,CBlock,4,2010,Normal,
160250,SFoyer,5,5,1978,CBlock,3,2010,Normal,
158900,2Story,6,5,1978,CBlock,3,2010,Abnorml,
270000,1Story,7,7,1977,CBlock,1,2010,Normal,
85000,1Story,4,4,1927,BrkTil,2,2010,Normal,
128000,1Story,4,7,1950,CBlock,2,2010,Normal,
260000,1Story,7,6,1979,PConc,0,2010,Normal,
230000,2Story,6,5,1978,PConc,4,2010,Normal,
129000,1Story,5,6,1956,CBlock,3,2010,Normal,
127000,1.5Fin,4,6,1947,CBlock,3,2010,Normal,
128000,1Story,5,7,1954,CBlock,3,2010,Normal,
186000,1Story,6,5,2009,PConc,3,2010,Normal,
308030,1Story,7,5,2009,PConc,1,2010,Partial,
114000,1Story,5,3,1964,CBlock,3,2010,Normal,
84900,1Story,4,7,1946,CBlock,2,2010,Abnorml,
178000,2Story,6,5,1985,CBlock,3,2010,Normal,
270000,1Story,7,5,1987,CBlock,1,2010,Normal,
218000,2Story,6,7,1993,PConc,3,2010,Normal,
236000,2Story,7,5,1993,PConc,3,2010,Normal,
245350,1Story,8,5,2008,PConc,3,2010,Normal,
206000,1Story,7,5,2006,PConc,2,2010,Normal,
198900,1Story,7,5,2009,PConc,3,2010,Normal,
187000,1Story,7,5,2010,PConc,2,2010,Normal,
138500,1.5Fin,6,8,1900,PConc,3,2010,Normal,
155000,SLvl,6,7,1971,CBlock,3,2010,Normal,
191000,2Story,7,5,1997,PConc,3,2010,Normal,
200500,2Story,6,5,1998,PConc,3,2010,Normal,
150000,1Story,5,8,1977,CBlock,3,2010,Normal,
161750,2Story,6,7,1977,CBlock,3,2010,Normal,
128200,1Story,5,6,1976,CBlock,3,2010,Normal,
127000,1Story,5,6,1972,CBlock,3,2010,Normal,
272000,1Story,8,5,2001,PConc,3,2010,Normal,
237000,2Story,7,6,2003,PConc,3,2010,Normal,
240000,2Story,7,5,1997,PConc,4,2010,Normal,
224900,1Story,7,5,1998,PConc,3,2010,Normal,
143750,1Story,6,5,2003,PConc,1,2010,Normal,
143000,1Story,6,5,2004,PConc,1,2010,Normal,
232000,1Story,8,5,2003,PConc,3,2010,Normal,
185500,1Story,7,5,2004,PConc,3,2010,Normal,
84900,1Story,3,6,1945,CBlock,2,2010,Normal,
155891,1Story,5,6,1954,CBlock,3,2010,Abnorml,
100000,1Story,5,5,1965,CBlock,4,2010,Normal,
144000,1Story,5,6,1968,CBlock,3,2010,Normal,
64000,1.5Fin,4,5,1948,CBlock,2,2010,Abnorml,
125200,SLvl,6,6,1975,CBlock,3,2010,Normal,
107000,SLvl,6,5,1976,CBlock,3,2010,Abnorml,
90000,1Story,4,5,1958,CBlock,3,2010,Normal,
140000,1Story,4,5,2003,PConc,2,2010,Normal,
113000,1.5Fin,6,4,1945,CBlock,3,2010,Normal,
144500,1Story,5,6,1957,CBlock,4,2010,Normal,
104000,1Story,5,6,1924,BrkTil,2,2010,Normal,
128000,2Story,6,4,1915,PConc,4,2010,Normal,
58500,1Story,3,3,1914,BrkTil,2,2010,Normal,
127000,1.5Fin,5,6,1924,BrkTil,3,2010,Normal,
126000,1Story,6,6,1939,CBlock,2,2010,Normal,
160000,2Story,4,6,1967,Slab,6,2010,Normal,
169000,1.5Fin,6,7,1919,PConc,4,2010,Normal,
257500,1.5Fin,7,6,1941,BrkTil,4,2010,Normal,
266500,2Story,7,9,1941,Stone,4,2010,Normal,
335000,1Story,7,8,1959,PConc,3,2010,Normal,
203135,SLvl,7,6,1994,PConc,3,2010,Normal,
185000,1Story,8,6,1989,CBlock,1,2010,Normal,
289000,1Story,7,8,1959,CBlock,1,2010,Normal,
125500,1.5Fin,4,8,1922,BrkTil,3,2010,Normal,
82000,1Story,2,5,1941,BrkTil,1,2010,Normal,
68400,1.5Fin,4,4,1920,CBlock,2,2010,Abnorml,
102776,1.5Fin,4,7,1900,Stone,2,2010,Abnorml,
55993,1Story,5,5,1952,CBlock,2,2010,Alloca,
50138,1Story,4,7,1896,CBlock,3,2010,Alloca,
246000,1Story,8,5,2004,PConc,2,2010,Normal,
254900,2Story,8,5,1998,PConc,3,2010,Normal,
190000,SLvl,6,7,1977,CBlock,3,2010,Normal,
201000,1Story,7,5,2003,PConc,3,2010,Normal,
169900,SLvl,6,5,1976,CBlock,3,2010,Normal,
170000,1Story,6,5,1976,CBlock,5,2010,Normal,
160000,1Story,5,5,1948,CBlock,3,2010,Normal,
220000,1Story,7,5,2008,PConc,3,2010,Normal,
174000,2Story,5,5,2006,PConc,3,2010,Normal,
269500,2Story,8,5,2009,PConc,4,2010,Partial,
214900,2Story,7,5,2002,PConc,4,2010,Normal,
173500,1Story,5,5,2004,PConc,3,2010,Normal,
139000,2Story,6,5,1971,CBlock,4,2010,Normal,
166500,1Story,5,5,1999,PConc,3,2010,Normal,
83500,2Story,4,5,1973,CBlock,3,2010,Normal,
85000,2Story,5,3,1976,CBlock,3,2010,Normal,
76000,2Story,4,7,1970,CBlock,3,2010,Normal,
75500,SFoyer,4,6,1972,CBlock,1,2010,Normal,
88250,2Story,4,4,1970,CBlock,3,2010,Normal,
85500,2Story,4,6,1972,CBlock,3,2010,Normal,
130000,1Story,5,7,1971,CBlock,3,2010,Normal,
157900,1Story,5,7,1962,CBlock,3,2010,Normal,
149900,1Story,5,7,1984,CBlock,2,2010,Normal,
136000,2Story,5,5,1991,PConc,3,2010,Normal,
161000,1.5Fin,5,5,1969,CBlock,5,2010,Normal,
124500,1Story,6,5,1956,CBlock,2,2009,Normal,
157000,1Story,6,5,1974,CBlock,4,2009,Normal,
345000,SLvl,8,7,1972,CBlock,4,2009,Normal,
189500,2Story,6,5,1997,PConc,3,2009,Normal,
270000,2Story,8,5,2003,PConc,4,2009,Normal,
168500,SLvl,7,5,1995,PConc,3,2009,Normal,
375000,1Story,8,5,2004,PConc,1,2009,Normal,
278000,1Story,8,5,2000,PConc,2,2009,Normal,
240000,1Story,8,5,1998,PConc,2,2009,Normal,
239500,1Story,8,5,1995,PConc,2,2009,Normal,
177500,SLvl,7,5,1998,PConc,3,2009,Normal,
185000,2Story,7,5,1998,PConc,3,2009,Normal,
191000,2Story,6,5,1998,PConc,3,2009,Normal,
178000,2Story,6,7,1993,PConc,3,2009,Normal,
185000,2Story,6,8,1993,PConc,3,2009,Normal,
181316,2Story,6,5,1994,PConc,3,2009,Normal,
166000,1Story,6,5,1993,PConc,3,2009,Normal,
178000,2Story,6,5,1992,PConc,3,2009,Normal,
174000,2Story,6,5,1994,PConc,3,2009,Normal,
173000,1Story,6,6,1992,PConc,3,2009,Normal,
225000,2Story,7,5,1999,PConc,3,2009,Normal,
180500,1Story,7,5,1990,PConc,3,2009,Normal,
187500,1Story,8,5,1984,CBlock,1,2009,Abnorml,
372500,1Story,8,5,2008,PConc,3,2009,Partial,
185000,2Story,5,6,1977,PConc,3,2009,Normal,
181000,1Story,6,5,1979,CBlock,3,2009,Normal,
82500,1Story,7,5,1977,CBlock,3,2009,Family,
215000,1Story,6,7,1977,CBlock,3,2009,Normal,
154000,2Story,7,6,1978,CBlock,4,2009,Abnorml,
200000,1Story,6,6,1978,PConc,3,2009,Normal,
249000,2Story,7,7,1980,CBlock,4,2009,Normal,
187500,SLvl,7,5,1980,CBlock,3,2009,Normal,
184000,1Story,6,5,1978,PConc,3,2009,Normal,
278000,1Story,8,5,1981,PConc,4,2009,Normal,
152000,1Story,7,5,1976,CBlock,3,2009,Family,
197500,2Story,5,7,1976,CBlock,4,2009,Normal,
240900,2Story,7,5,2003,PConc,3,2009,Normal,
263435,2Story,8,5,2009,PConc,3,2009,Partial,
220000,2Story,8,5,2000,PConc,3,2009,Normal,
235000,2Story,8,5,2002,PConc,3,2009,Normal,
213000,1Story,5,7,1975,CBlock,3,2009,Normal,
167900,1Story,6,6,1974,CBlock,3,2009,Normal,
158000,1Story,7,5,1975,CBlock,3,2009,Normal,
158000,SLvl,6,6,1972,CBlock,3,2009,Abnorml,
148500,1Story,5,6,1970,CBlock,3,2009,Normal,
156000,1Story,6,8,1969,CBlock,3,2009,Normal,
128000,1Story,5,5,1970,CBlock,2,2009,Normal,
76500,1Story,4,6,1970,CBlock,3,2009,Abnorml,
120500,1Story,4,6,1970,CBlock,3,2009,Normal,
97000,1Story,4,6,1971,CBlock,2,2009,Abnorml,
130000,1Story,4,7,1971,CBlock,3,2009,Normal,
111000,2Story,6,5,1973,CBlock,2,2009,Normal,
112000,2Story,5,5,1971,CBlock,3,2009,Abnorml,
97000,2Story,6,6,1972,CBlock,2,2009,Normal,
118000,2Story,6,8,1972,CBlock,2,2009,Normal,
119500,2Story,5,7,1972,CBlock,3,2009,Normal,
148500,2Story,6,6,1976,CBlock,3,2009,Normal,
123000,1Story,7,5,1975,CBlock,2,2009,Normal,
147000,2Story,6,5,1974,CBlock,3,2009,Normal,
137900,2Story,6,5,1977,CBlock,3,2009,Normal,
147000,2Story,6,5,1978,CBlock,3,2009,Normal,
148500,2Story,6,6,1978,CBlock,3,2009,Normal,
138000,2Story,6,5,1978,CBlock,3,2009,Normal,
128500,1Story,7,6,1976,CBlock,2,2009,Normal,
100000,1Story,5,5,1967,CBlock,3,2009,Normal,
148800,1Story,5,7,1966,PConc,3,2009,Normal,
337500,1Story,10,5,2006,PConc,3,2009,Normal,
462000,2Story,9,5,2007,PConc,4,2009,Normal,
485000,2Story,9,5,2008,PConc,4,2009,Partial,
555000,1Story,10,5,2008,PConc,2,2009,Normal,
325000,1Story,9,5,2006,PConc,2,2009,Normal,
253293,1Story,8,5,2008,PConc,3,2009,Partial,
398800,2Story,9,5,2009,PConc,3,2009,Partial,
404000,1Story,9,5,2008,PConc,3,2009,Normal,
402861,1Story,10,5,2009,CBlock,3,2009,Partial,
610000,1Story,10,5,2007,PConc,2,2009,Normal,
360000,1Story,9,5,2008,PConc,3,2009,Normal,
296000,1Story,8,5,2004,PConc,3,2009,Normal,
409900,2Story,8,5,2007,PConc,5,2009,Family,
335000,1Story,9,5,2008,PConc,3,2009,Normal,
300000,1Story,9,5,2006,PConc,2,2009,Normal,
324000,1Story,9,5,2008,PConc,3,2009,Normal,
350000,2Story,9,5,2004,PConc,4,2009,Normal,
280000,1Story,8,5,2004,PConc,3,2009,Normal,
284000,1Story,8,5,2003,PConc,3,2009,Normal,
269500,1Story,7,5,2003,PConc,3,2009,Normal,
233170,1Story,7,5,2009,PConc,3,2009,Partial,
386250,1Story,10,5,2003,PConc,3,2009,Normal,
445000,1Story,9,5,2003,PConc,3,2009,Normal,
255900,1Story,8,5,2006,PConc,3,2009,Normal,
213000,1Story,6,5,2005,PConc,2,2009,Normal,
184500,1Story,6,5,2005,PConc,1,2009,Normal,
230000,1Story,7,5,2007,PConc,2,2009,Normal,
552000,1Story,10,5,2004,PConc,2,2009,Abnorml,
248500,1Story,9,5,2008,PConc,2,2009,Normal,
286500,1Story,8,5,2002,PConc,3,2009,Normal,
254000,1Story,8,5,2006,PConc,2,2009,Normal,
173000,1Story,7,5,2003,PConc,2,2009,Normal,
173000,2Story,7,5,2003,PConc,2,2009,Normal,
184000,2Story,7,5,2005,PConc,3,2009,Normal,
167800,2Story,6,5,2005,PConc,3,2009,Normal,
174000,2Story,6,5,2005,PConc,3,2009,Normal,
174000,2Story,6,5,2005,PConc,3,2009,Normal,
174000,1Story,7,5,2007,PConc,2,2009,Normal,
192500,1Story,7,5,2005,PConc,2,2009,Normal,
181000,1Story,7,5,2005,PConc,1,2009,Normal,
180000,1Story,7,5,2005,PConc,2,2009,Normal,
160200,1Story,7,5,2005,PConc,2,2009,Normal,
188500,2Story,7,5,2004,PConc,3,2009,Normal,
200000,2Story,6,5,2002,PConc,4,2009,Normal,
170000,SLvl,7,5,2004,PConc,3,2009,Normal,
189500,2Story,7,5,2004,PConc,3,2009,Normal,
184100,SLvl,8,5,2002,PConc,3,2009,Normal,
195500,2Story,7,5,2004,PConc,3,2009,Normal,
192000,2Story,7,5,2003,PConc,3,2009,Normal,
178000,2Story,7,5,2003,PConc,3,2009,Normal,
257500,2Story,8,5,2002,PConc,4,2009,Normal,
244000,2Story,6,5,2000,PConc,3,2009,Normal,
167000,SLvl,7,5,2004,PConc,3,2009,Normal,
179000,2Story,6,5,2000,PConc,3,2009,Normal,
190000,2Story,6,5,2000,PConc,3,2009,Normal,
156000,SLvl,7,5,1999,PConc,3,2009,Normal,
245000,2Story,7,5,1999,PConc,4,2009,Normal,
181000,2Story,6,5,1999,PConc,3,2009,Normal,
214000,2Story,7,5,1999,PConc,3,2009,Normal,
168000,SLvl,7,6,1999,PConc,3,2009,Normal,
337000,2Story,8,5,1999,PConc,3,2009,Normal,
403000,2Story,8,5,1995,PConc,4,2009,Normal,
340000,2Story,8,5,1998,PConc,3,2009,Normal,
265000,2Story,7,5,1996,PConc,3,2009,Normal,
315000,1Story,8,5,1994,PConc,3,2009,Normal,
402000,2Story,8,7,1994,PConc,4,2009,Normal,
248000,2Story,7,6,1994,PConc,3,2009,Normal,
244600,1Story,8,5,2008,PConc,3,2009,Partial,
275000,1Story,8,5,2008,PConc,3,2009,Normal,
257500,1Story,8,5,2008,PConc,3,2009,Normal,
287090,1Story,8,5,2008,PConc,3,2009,Partial,
275500,1Story,8,5,2007,PConc,3,2009,Normal,
245000,1Story,8,5,2006,PConc,3,2009,Normal,
253000,2Story,7,5,2005,PConc,3,2009,Normal,
468000,1Story,9,5,2005,PConc,2,2009,Normal,
252678,2Story,7,5,2009,PConc,3,2009,Partial,
208300,1Story,6,5,2009,PConc,2,2009,Partial,
225000,1Story,7,5,2008,PConc,3,2009,Partial,
250000,1Story,9,5,2007,PConc,3,2009,Normal,
370878,1Story,9,5,2009,PConc,2,2009,Partial,
238500,1Story,8,5,2006,PConc,2,2009,Normal,
252000,2Story,8,5,2005,PConc,3,2009,Normal,
241000,2Story,7,5,2006,PConc,2,2009,Normal,
264500,1Story,8,5,2008,PConc,3,2009,Partial,
291000,1Story,7,5,2006,PConc,3,2009,Normal,
185000,1Story,7,5,2004,PConc,2,2009,Normal,
234500,1Story,7,5,2003,PConc,3,2009,Normal,
209000,2Story,7,5,2003,PConc,3,2009,Normal,
159000,1Story,7,6,2007,PConc,3,2009,Normal,
152000,1Story,7,5,2006,PConc,3,2009,Normal,
143500,1Story,6,5,2004,PConc,3,2009,Normal,
193000,2Story,7,5,2004,PConc,3,2009,Normal,
203000,1Story,8,5,2004,PConc,3,2009,Normal,
159000,1Story,7,5,2004,PConc,3,2009,Normal,
142000,1Story,5,5,2004,PConc,3,2009,Normal,
153000,1Story,5,5,2003,PConc,3,2009,Normal,
220000,2Story,7,5,1996,PConc,4,2009,Normal,
257000,1Story,8,5,2005,PConc,2,2009,Abnorml,
189000,1Story,7,5,2001,PConc,3,2009,Normal,
171500,2Story,6,6,1992,PConc,3,2009,Normal,
145000,1Story,6,5,1990,PConc,2,2009,Normal,
184000,2Story,7,5,1994,PConc,3,2009,Normal,
162000,2Story,6,7,1986,CBlock,3,2009,Normal,
160000,2Story,6,7,1981,Slab,4,2009,Normal,
82000,1Story,4,4,1950,CBlock,2,2009,Normal,
110000,1Story,5,5,1962,CBlock,3,2009,Normal,
141000,1Story,5,6,1961,CBlock,3,2009,Normal,
122000,1Story,5,5,1961,CBlock,2,2009,Normal,
124100,1Story,5,5,1965,CBlock,3,2009,Family,
129000,1Story,5,8,1963,CBlock,3,2009,Normal,
131400,1Story,5,6,1961,CBlock,3,2009,Normal,
62383,1Story,5,5,1965,CBlock,3,2009,Normal,
123000,1Story,5,6,1962,CBlock,3,2009,Normal,
235000,2Story,7,8,1991,PConc,3,2009,Normal,
280750,2Story,7,5,2004,PConc,3,2009,Normal,
164500,2Story,6,5,2009,PConc,2,2009,Partial,
173733,2Story,6,5,2009,PConc,2,2009,Partial,
222000,1Story,6,5,2008,PConc,2,2009,Partial,
195000,1Story,6,5,2008,PConc,1,2009,Normal,
172500,2Story,6,5,1999,PConc,3,2009,Normal,
180000,2Story,6,5,2000,PConc,2,2009,Normal,
156000,2Story,7,5,1999,PConc,3,2009,Normal,
318750,1Story,8,9,1977,CBlock,2,2009,Normal,
241600,1Story,7,5,1981,CBlock,2,2009,Normal,
180500,SLvl,8,5,1976,CBlock,4,2009,Abnorml,
150000,1Story,4,4,1976,CBlock,3,2009,Normal,
154000,2Story,6,6,1968,CBlock,4,2009,Normal,
185000,1Story,6,6,1970,CBlock,2,2009,Normal,
185750,1Story,6,7,1968,CBlock,3,2009,Normal,
200000,2Story,7,6,1973,CBlock,3,2009,Normal,
162000,2Story,6,6,1972,CBlock,3,2009,Normal,
256900,2Story,6,7,1967,PConc,5,2009,Normal,
163000,1Story,5,5,1969,CBlock,3,2009,Normal,
113000,1Story,6,5,1969,CBlock,3,2009,Abnorml,
230000,2Story,7,7,1977,PConc,4,2009,Normal,
167900,1Story,6,5,1977,CBlock,2,2009,Normal,
227000,2Story,8,6,2001,PConc,3,2009,Normal,
130000,1Story,5,6,1967,PConc,2,2009,Normal,
143000,1Story,5,5,1967,CBlock,3,2009,Normal,
117500,1Story,5,6,1965,CBlock,2,2009,Normal,
168500,2Story,7,5,1974,CBlock,4,2009,Abnorml,
172500,SFoyer,6,5,1971,CBlock,3,2009,Normal,
161500,1Story,6,5,1967,CBlock,3,2009,Normal,
118000,1Story,5,7,1959,CBlock,3,2009,Normal,
127500,1Story,6,6,1959,CBlock,2,2009,Normal,
140000,1Story,4,5,1957,CBlock,3,2009,Normal,
110000,1Story,5,5,1958,CBlock,4,2009,Abnorml,
167000,1Story,6,6,1964,CBlock,3,2009,Normal,
153000,1Story,5,6,1961,CBlock,3,2009,Normal,
145100,1Story,5,5,1964,CBlock,3,2009,Abnorml,
